Cluster_1,Cluster_2,Avg_Distance,SNP_Differences_per_kb
24,46,0.192468513,16
24,55,0.202236374,17
24,56,0.218753437,18
24,83,0.155760031,13
24,136,0.146879207,12
24,148,0.159188136,13
24,162,0.206455813,17
24,169,0.168433413,14
24,177,0.161978798,13
24,224,0.17417865,14
25,26,0.133167746,11
25,36,0.145499415,12
25,S,0.163117639,13
25,45,0.192685615,16
25,46,0.203273732,17
25,55,0.213041593,18
25,56,0.229558656,19
25,83,0.146663134,12
25,136,0.182027682,15
25,148,0.194336611,16
25,162,0.217261032,18
25,169,0.122110142,10
25,177,0.124415955,10
25,224,0.136615807,11
26,36,0.150166299,12
26,S,0.171236084,14
26,45,0.197352499,16
26,46,0.207940616,17
26,55,0.217708477,18
26,56,0.23422554,19
26,83,0.151330018,12
26,136,0.186694567,15
26,148,0.199003495,16
26,162,0.221927917,18
26,169,0.135537454,11
26,177,0.116843291,10
26,224,0.108800645,9
36,S,0.167895207,14
36,45,0.199983018,17
36,46,0.210571135,17
36,55,0.220338996,18
36,56,0.236856059,20
36,83,0.153960537,13
36,136,0.189325086,16
36,148,0.201634014,17
36,162,0.224558436,19
36,169,0.147869123,12
36,177,0.141414509,12
36,224,0.153614361,13
S,45,0.190451466,16
S,46,0.194204651,16
S,55,0.203972512,17
S,56,0.220489575,18
S,83,0.16569346,14
S,136,0.182711105,15
S,148,0.192102462,16
S,162,0.208191951,17
S,169,0.167687419,14
S,177,0.162484294,13
S,224,0.174684146,14
45,46,0.219090423,18
45,55,0.228858284,19
45,56,0.245375347,20
45,83,0.182381941,15
45,136,0.149024508,12
45,148,0.112811222,9
45,162,0.233077724,19
45,169,0.195055323,16
45,177,0.188600708,16
45,224,0.20080056,17
46,55,0.136214558,11
46,56,0.152731621,13
46,83,0.192970058,16
46,136,0.208432491,17
46,148,0.220741419,18
46,162,0.140433997,12
46,169,0.20564344,17
46,177,0.199188826,16
46,224,0.211388678,17
55,56,0.048455809,4
55,83,0.202737919,17
55,136,0.218200352,18
55,148,0.23050928,19
55,162,0.063259878,5
55,169,0.215411301,18
55,177,0.208956687,17
55,224,0.221156539,18
56,83,0.219254982,18
56,136,0.234717415,19
56,148,0.247026343,20
56,162,0.079776941,7
56,169,0.231928364,19
56,177,0.22547375,19
56,224,0.237673602,20
83,136,0.171724009,14
83,148,0.184032937,15
83,162,0.206957359,17
83,169,0.149032842,12
83,177,0.142578228,12
83,224,0.15477808,13
136,148,0.150675504,12
136,162,0.222419791,18
136,169,0.184397391,15
136,177,0.177942776,15
136,224,0.190142628,16
148,162,0.23472872,19
148,169,0.196706319,16
148,177,0.190251704,16
148,224,0.202451556,17
162,169,0.219630741,18
162,177,0.213176126,18
162,224,0.225375978,19
169,177,0.126785663,10
169,224,0.138985515,11
177,224,0.120291353,10
